"Crop","SoilPh","ElectricalConductivity","OrganicCarbon","Phosphorous","Potassium","Sulphur","Zinc","Iron","Magnesium","meanTemp","meanDewPoint","meanStationPressure","meanVisibility","meanWindSpeed","meanPrecipitation","meanDepth","Yield"
"wheat",7.4876386913229,0.133004968181593,0.329181958683696,17.1456207150059,61.5905607193405,19.9201111756442,2.35391645972211,13.5233674904641,3.55455904268772,17.262962962963,52.0166666666667,936.65,2.14666666666667,0.9,0,8.795,-1.33569632289205
"wheat",7.43281346165582,0.220351806591692,0.30619694108188,19.3996095702397,80.5459441395311,24.8491676823292,1.77994650842162,20.5752532169392,4.31127473314893,18.2185185185185,54.1333333333333,937.603333333333,1.75,0.776666666666667,0.004,10.2923529411765,-0.633693862298305
"wheat",7.60515873015873,0.511865079365079,0.291170634920635,13.2635515873016,111.63253968254,26.7328373015873,3.89583333333333,20.0188492063492,26.2635205870559,18.2185185185185,54.1333333333333,937.603333333333,1.75,0.776666666666667,0.004,10.2923529411765,0.441115516246027
"wheat",7.70997017892644,0.429015904572565,0.291754390610972,17.0423359840954,174.516451292247,50.53784926383,2.82409867910999,32.2803479125249,8.82208717539989,18.2185185185185,54.1333333333333,937.603333333333,1.75,0.776666666666667,0.004,10.2923529411765,0.508642807044623
"wheat",7.45949895615866,0.485052192066806,0.29874739039666,8.11926931106472,47.947369519833,25.7444676409186,5.90720250521921,19.7123382045929,28.5334655532359,17.262962962963,52.0166666666667,936.65,2.14666666666667,0.9,0,8.795,-0.397348344503216
"wheat",7.45455653368557,0.530761829437735,0.328705067889489,16.0522198647394,104.633311231932,25.4899270653759,4.52300488178676,19.0547493292126,23.6484552375945,18.2185185185185,54.1333333333333,937.603333333333,1.75,0.776666666666667,0.004,10.2923529411765,0.465031431737196
"wheat",7.47827050997783,0.483481152993348,0.29629711751663,7.89325942350333,47.729800443459,25.0917960088692,3.39578713968958,17.5461197339246,24.9479316805723,17.262962962963,52.0166666666667,936.65,2.14666666666667,0.9,0,8.795,-0.0259482451109343
"wheat",7.49079563182527,0.510820592823713,0.290506227294015,15.8419188767551,108.099872074883,28.976344773791,3.56366821703349,20.5868268330733,23.8248896764557,18.2185185185185,54.1333333333333,937.603333333333,1.75,0.776666666666667,0.004,10.2923529411765,1.05308158910831
"wheat",7.45223880597015,0.486741293532338,0.296616915422886,8.21139303482587,48.5135820895522,24.6674129353234,4.01084577114428,19.1083084577114,26.906592039801,17.262962962963,52.0166666666667,936.65,2.14666666666667,0.9,0,8.795,-1.12326672058813
"wheat",7.45061500615006,0.55190036900369,0.298733087330873,11.8912115621156,84.5492066420664,23.7790159901599,4.07752767527675,18.7489729397294,29.2359778597786,18.2185185185185,54.1333333333333,937.603333333333,1.75,0.776666666666667,0.004,10.2923529411765,-0.816580274877838
